,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
794,Frugtprodukter,"Marmelade, engelsk type",0,1175,277,6.25,0.016,0.1,0.1,69.4,68.7,66.2,65,0.7,0,0.8,0,2.5,72,28,4.17,0,50,0,0,iv,iv,iv,0,0,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,5,5,0,10,10,iv,iv,iv,18,44,35,4,13,0.6,0.12,0.027,0.2,0.021,3,0.3,iv,iv,10,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,66.2,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
795,Fjerkræ,"Kylling, kød, rå",52,537,128,6.25,3.21,19.3,19.3,0,0,0,0,0,5.6,0.792,0,1,25.9,74.1,16,16,0,0.2,0.2,iv,iv,iv,0.29,0.29,iv,iv,iv,0,0.096,iv,0.158,11.7,8.24,0.39,1.06,2,21.2,10,0.42,2.3,2.3,iv,iv,iv,76,281,11,24.2,173,0.578,0.036,0.971,0.4,0.014,0.9,12.4,5,iv,3.6,iv,iv,iv,iv,iv,iv,0.142,3.4,iv,0,0.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.075,2.28,0.01,0.59,0.86,5.82,iv,iv,0,iv,0,0,0,0,0,0,iv,0,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,0,iv,0,0,0,0,0,iv,0.023,iv,0.685,0.008,0.255,0.008,iv,0,iv,0,iv,iv,0,iv,0.103,iv,1.781,0,iv,0.031,0,0,0,iv,1.203,iv,0.218,iv,0.002,0.012,iv,iv,iv,0,iv,0.01,iv,0.01,0.021,0.031,iv,iv,iv,iv,iv,iv,iv,0.062,0.98,1.915,1.506,iv,4.463,0.282,1.225,70,931,1410,1800,514,128,738,610,803,209,1060,1280,514,1190,1770,2660,1120,899,iv,803,iv
796,Fåre- og lammekød,"Lammekød, kølle, afpudset, rå",18,537,128,6.25,3.232,19.6,19.6,0,0,0,0,0,5.5,0.797,0,1.1,26.2,73.8,45,45,0,0.4,0.4,iv,iv,iv,0.7,0.7,iv,iv,iv,0,0.18,iv,0.31,7.42,4.3,0.2,0.55,1,1.4,0.7,1.2,0,0,iv,iv,iv,78,350,12.8,27,210,2.2,0.122,3.3,0.7,0.01,8.1,6.05,0,iv,2.14,0.02,iv,iv,iv,iv,iv,0.19,iv,iv,1.6,4.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0,0,0,0.002,0.023,iv,0.248,iv,1.064,iv,0.876,0,iv,0,iv,iv,iv,iv,0,iv,0.092,iv,1.558,iv,iv,0,0,0,iv,iv,0.093,iv,0.053,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,0,iv,iv,iv,0.208,iv,iv,iv,0.168,2.212,1.65,0.146,0.208,4.385,0.053,0.093,69,1000,1650,1840,517,171,808,808,873,187,1100,1360,582,1260,1840,2970,1070,937,iv,808,iv
797,Andet fisk,"Hvalkød, råt",0,468,111,6.25,3.76,22.3,22.3,0,0,0,iv,0,2.4,0.91,0,1,25.7,74.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.1,iv,0.22,iv,iv,iv,iv,iv,iv,iv,iv,0,0,iv,iv,iv,93,320,iv,33,195,3.7,iv,1.4,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.184,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
798,Kalvekød,"Kalvekød, magert, råt",6,509,121,6.25,3.36,18.6,18.6,0,0,0,0,0,5.2,0.92,0,1.1,24.9,75.1,0,0,0,0.2,0.2,iv,iv,iv,0.15,0.15,iv,iv,iv,0,0.063,iv,0.132,9.64,6,0.408,0.9,0,10,3,1.3,1,1,iv,iv,iv,68,322,7.54,20,178,1.4,0.059,4.3,1.7,0.011,2.2,8.4,0,iv,1.7,iv,iv,iv,iv,iv,iv,0.1,0.31,iv,0.1,0.9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.151,0.038,1.28,0.056,0.622,iv,iv,iv,iv,iv,iv,iv,0.075,0,0.301,0.056,2,iv,iv,0,iv,iv,iv,iv,0.094,iv,0.056,iv,iv,iv,iv,iv,iv,0,iv,iv,0.056,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.147,2.431,0.206,iv,4.784,0.056,0.15,60,1010,1580,1650,504,168,806,706,840,218,1040,1310,672,1210,1880,2820,1080,907,iv,840,iv
799,Blad- og stængelgrøntsager,"Blomkål, dansk, rå",8,99,24,6.25,0.32,2,2,4.3,1.9,1.9,0,2.4,0.4,0.8,0,0.7,7.4,92.6,3.33,0,40,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,16,0.0588,iv,0.0727,0.979,0.6,0.145,0.6,1.5,165,32,0,62,62,iv,iv,iv,17,286,24.5,13.2,48.1,0.402,0.042,0.261,0.8,0.23,1.2,0.683,iv,iv,1.11,iv,iv,iv,iv,iv,iv,0.1,0.1,iv,0.557,0.692,iv,iv,iv,iv,iv,iv,iv,1.5,iv,iv,iv,iv,iv,iv,iv,iv,0.01,1.31,iv,0.51,1.82,0,0,0.06,0.06,iv,iv,1.88,iv,iv,iv,iv,0.01,iv,iv,iv,0.39,0.54,0.5,1.12,0.01,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.062,iv,0.006,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.024,iv,iv,iv,iv,iv,iv,iv,0.027,iv,0.168,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.069,0.024,0.196,iv,0.288,0.168,0.027,0,70,106,96,25,12,67,42,67,23,115,77,35,150,163,221,70,86,iv,99,iv
800,Skaldyr,"Krabbe, kogt",84,541,129,6.25,3.216,20.1,20.1,0.4,0.4,0.5,0,0,5.2,0.68,0,1.8,27.5,72.5,650,650,0,0,0,iv,iv,iv,2.4,2.4,iv,iv,iv,0,0.1,iv,0.15,6.25,2.5,0.3,0.6,0,20,3,10,0,0,iv,iv,iv,370,270,29,48,350,1.3,4.8,5.5,130,0.03,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.058,0.029,0.379,0.049,0.177,0,iv,0,iv,iv,iv,iv,0,iv,0.206,0,0.618,iv,iv,0.145,0.161,iv,iv,iv,0.132,iv,0.19,iv,iv,iv,iv,iv,iv,0,iv,iv,0.024,0.887,0.058,0.421,iv,iv,iv,iv,iv,iv,iv,iv,0.693,1.13,1.713,iv,3.536,1.556,0.156,78,933,1740,1580,579,257,804,740,933,225,965,1670,386,1350,2190,3150,1320,868,iv,1030,iv
801,Rod- og knoldgrøntsager,"Kartoffel, kogt",0,360,85,6.25,0.274,1.7,1.7,20,18.6,18.6,iv,1.4,0.1,0.8,0,0.7,22.5,77.5,0.167,0,2,iv,iv,iv,iv,iv,0.01,0.01,iv,iv,iv,iv,0.098,iv,0.019,1.31,1.31,0.269,iv,iv,9,iv,0,8.3,7,1.3,iv,iv,5,328,8,20,40,0.31,0.167,0.27,iv,iv,iv,0.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0.001,0.003,iv,0.001,iv,0.019,iv,0.005,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.001,iv,iv,0,0,iv,iv,iv,0.037,iv,0.012,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.029,0.002,0.049,iv,0.08,0.012,0.037,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
802,Fuglevildt,"Rype, kød, rå",35,475,112,6.25,3.76,23.5,23.5,0.1,0.1,0.1,0,0,2,0.83,0,1.4,27,73,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0.22,iv,0.53,11,7.1,iv,iv,iv,iv,iv,iv,0,0,iv,iv,iv,88.5,390,40,36,290,7.5,0.39,1.5,8,0.16,iv,iv,iv,iv,5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.019,iv,0.415,iv,0.07,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.831,0.325,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,0.504,0.831,0.325,iv,1.66,0,0.325,iv,iv,iv,iv,iv,iv,iv,iv,iv,234,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
803,Frugtprodukter,Abrikosmarmelade,0,938,221,6.25,0.064,0.4,0.4,55,53.7,53.7,46,1.3,0.2,0.8,0,0.4,56,44,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.0715,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,49,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.16,iv,iv,iv,12,22,28,2,1,15,8,13,4,13,13,8,19,90,45,12,29,iv,24,iv
804,Sukkervarer,"Chokolade, fløde, med nødder",0,2398,575,6.25,1.408,8.8,8.8,50.6,50.6,42.9,40,0,37.5,0.94,0,1.8,98.7,1.3,104,100,45,0,0,iv,iv,iv,0.25,0.25,iv,iv,iv,0,0.14,iv,0.3,2,0.5,0.035,0.19,3,7,4,0,0,0,iv,iv,iv,127,442,310,55,240,0.9,0.367,1.55,17,0.32,6,4.5,10,iv,92,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.03,0.38,iv,iv,iv,iv,1.05,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,40,iv,iv,iv,iv,2.9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.225,0.273,0.097,0.16,0.312,iv,0.608,iv,9.194,0,10.503,0.318,iv,0.066,iv,0.034,iv,iv,0.069,iv,0.205,iv,10.872,0,iv,0.055,0,0,0,iv,1.157,iv,0.101,iv,0,0,iv,iv,iv,0,iv,0,iv,0,0,0,iv,iv,iv,iv,iv,iv,iv,0,22.79,11.201,1.259,iv,35.25,0.101,1.157,18,436,803,690,197,39,422,282,253,90,591,296,211,282,704,1610,211,845,iv,479,iv
805,Oksekød,"Oksekød, tykstegsfilet uden kappe, rå",2,515,122,6.25,3.488,21.8,21.8,0,0,0,0,0,3.9,0.94,0,1,26.7,73.3,0,0,0,0.4,0.4,iv,iv,iv,0.16,0.16,iv,iv,iv,0,0.062,iv,0.2,9.78,6,0.5,0.9,0,7,4,1.4,0,0,iv,iv,iv,50,360,5,22,170,2.3,0.085,3.6,0.8,0.011,4,6.5,0,iv,0.7,iv,iv,iv,iv,iv,iv,0.05,0.53,iv,0.9,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.23,2.35,0.003,0.23,0.84,2.58,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.117,0.022,0.986,0.044,0.477,iv,iv,iv,iv,iv,iv,iv,0.055,iv,0.231,0.037,1.54,iv,iv,0,iv,iv,iv,iv,0.073,iv,0.048,iv,iv,iv,iv,iv,iv,0,iv,iv,0.037,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.646,1.862,0.158,iv,3.666,0.048,0.11,62,1050,1710,1850,558,146,872,732,942,227,1150,1330,767,1290,1920,3140,1080,872,iv,872,iv
806,Fedtrig frugt og frø,"Pinjekerne, tørret",0,2801,678,5.3,2.64,14,16.5,19.4,13,9.8,0,6.3,61.9,0.911,0,2.5,97.8,2.2,1.5,0,18,0,0,0,0,0,11.9,11.9,7.46,iv,iv,4.9,0.485,iv,0.259,6.01,3.33,0.216,0.408,17.1,63.4,iv,0,0.8,0.8,iv,iv,iv,1.25,603,9.9,205,490,4.85,1.3,5.75,iv,8.6,iv,1,7.7,iv,235,iv,iv,iv,iv,iv,iv,iv,iv,iv,4,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.2,iv,0.25,0.45,iv,iv,4.4,4.4,iv,iv,4.85,iv,iv,iv,iv,4.97,4.5,1.2,0.7,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,2.724,iv,1.405,0.21,0,iv,iv,iv,iv,0,0,0,iv,iv,14.862,0.198,0.606,iv,0,0,0,iv,25.215,iv,0.147,0,0,0.306,iv,0,0,0,iv,0,0,iv,0,0,iv,0,0,0,0,0,iv,10.693,4.339,15.666,25.669,0,56.367,0.147,25.521,0,546,1080,626,313,227,596,605,484,161,723,2460,361,765,1420,2830,730,700,0,886,iv
807,Vildt,"Kanin, kød, rå",24,495,118,6.25,3.552,20.4,20.4,0,0,0,0,0,4,0.93,0,1,25.4,74.6,10,10,0,0,0,iv,iv,iv,0.4,0.4,iv,iv,iv,0,0.115,iv,0.14,14.7,10,0.6,0.78,1,5,4,10,3,3,iv,iv,iv,58,383,13,28,210,0.8,0.15,1.7,0.55,0.038,2,10,10,iv,0.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.099,0.026,1.141,0.031,0.348,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.079,0,0.709,iv,iv,0,iv,iv,iv,iv,0.791,iv,0.375,iv,iv,iv,iv,iv,iv,0,iv,iv,0.072,0,0.049,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.645,0.788,1.287,iv,3.72,0.424,0.864,71,1240,1850,2240,675,163,924,924,1070,281,1310,1490,675,1350,2200,3590,1140,888,iv,924,iv
808,"""Frugt""-grøntsager","Peber, chili, rå",11,187,44,6.25,0.32,2,2,9.5,7.7,7.7,0,1.8,0.2,0.7,0,0.6,12.3,87.7,366,0,4390,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.09,iv,0.09,1.33,0.9,0.278,0.061,iv,23,iv,0,166,166,iv,iv,iv,7,340,14,25,67.5,1.2,0.174,0.3,iv,0.237,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.04,iv,iv,0.04,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.8,iv,iv,iv,iv,iv,0,iv,0.001,iv,0.015,iv,0.003,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.011,iv,iv,iv,iv,iv,iv,iv,0.105,iv,0.005,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.019,0.011,0.11,iv,0.14,0.005,0.105,0,64,106,90,24,38,61,42,74,26,83,96,42,83,285,262,74,86,iv,80,iv
812,Andet fisk,"Sælkød, råt",0,480,114,6.25,3.744,22.6,22.6,0,0,0,iv,0,2.6,0.91,0,1.2,26.4,73.6,120,120,0,3.5,3.5,iv,iv,iv,3.5,3.5,iv,iv,iv,iv,0.2,iv,0.88,6,6,iv,iv,iv,iv,iv,iv,0,0,iv,iv,iv,183,285,16,30,213,12.1,iv,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.366,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
813,Brød,"Flûte, groft, industrifremstillet",0,1094,259,5.7,1.424,8.1,8.9,52.6,48.6,47.9,0,4,2.6,0.882,0,1.7,65,35,0,0,0,0,0,iv,iv,iv,0.5,0.5,iv,iv,iv,iv,0.192,iv,0.0672,1.42,1.57,0.0985,0.394,2.84,39.3,iv,0.0707,0,0,iv,iv,806,460,161,35.2,28,112,1.16,0.134,0.821,23,0.692,2.3,2.06,iv,iv,3.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.26,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,46,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.026,0.019,0.101,iv,0.076,iv,0.652,iv,0.068,0,iv,0,iv,iv,iv,iv,iv,iv,0.005,iv,0.675,0.033,iv,0.015,iv,iv,iv,iv,0.573,iv,0.085,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.942,0.728,0.657,0,2.327,0.085,0.573,0,356,612,199,132,157,427,199,242,85,413,328,185,271,399,2620,342,940,iv,427,iv
815,Fedtrig frugt og frø,"Cashewnød, tørristet",0,2504,603,5.3,2.889,15.3,18.1,32.7,29.7,26.9,0,3,46.4,0.956,0,4,98.3,1.7,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.2,iv,0.2,5.35,1.4,0.256,1.22,iv,69,iv,0,0,0,iv,iv,iv,16,565,45,260,490,6,2.22,5.6,iv,0.826,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.7,iv,0,0,0.132,0.132,0.789,iv,0.354,iv,4.401,iv,3.005,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.324,iv,27.112,iv,iv,0.142,0,iv,iv,iv,7.759,iv,0.162,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,8.812,27.578,7.921,iv,44.311,0.162,7.759,0,722,1270,809,274,283,780,491,578,237,1040,1730,404,693,1500,3610,809,693,iv,838,iv
816,Brød,"Hvedebrød, bolle, italiensk type, industrifremstillet",0,1083,256,5.7,1.556,8.9,9.7,52.4,49.3,48.4,0,3,1.9,0.901,0,1.9,65,35,0,0,0,0,0,iv,iv,iv,0.5,0.5,iv,iv,iv,iv,0.167,iv,0.049,1.56,1.26,0.078,0.343,2.05,27,iv,0,0,0,iv,iv,860,505,133,27.8,22.3,96.8,1,0.127,0.735,18.4,0.516,3.23,5.92,iv,iv,3.91,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.38,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,47.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,0,iv,0.354,iv,0.037,0,iv,0,iv,iv,iv,iv,iv,iv,0.016,iv,0.555,0.031,iv,0.004,iv,iv,iv,iv,0.639,iv,0.048,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.392,0.605,0.688,0,1.685,0.048,0.639,0,389,669,218,145,171,467,218,265,93,451,358,202,296,436,2860,373,1030,iv,467,iv
